,date,price
0,2023-01-22,1868886.5
1,2023-01-23,1847184.625
2,2023-01-24,1884173.7499999998
3,2023-01-25,1875915.125
4,2023-01-26,1881252.0
5,2023-01-27,1877392.0000000002
6,2023-01-28,1937945.4999999998
7,2023-01-29,1863300.8749999998
8,2023-01-30,1892068.125
9,2023-01-31,1938482.375
10,2023-02-01,1925776.3750000002
11,2023-02-02,1934371.9999999998
12,2023-02-03,1924659.2500000002
13,2023-02-04,1890522.1250000002
14,2023-02-05,1883523.1249999998
15,2023-02-06,1924942.1250000002
16,2023-02-07,1896165.125
17,2023-02-08,1800763.5
18,2023-02-09,1786113.25
19,2023-02-10,1804108.75
20,2023-02-11,1797794.75
21,2023-02-12,1801311.0
22,2023-02-13,1841390.375
23,2023-02-14,2011257.25
24,2023-02-15,1953367.25
25,2023-02-16,2034403.9999999998
26,2023-02-17,2040646.3749999998
27,2023-02-18,2013489.75
28,2023-02-19,2053314.8749999998
29,2023-02-20,2024841.5
30,2023-02-21,2003695.8750000002
31,2023-02-22,1978490.1250000002
32,2023-02-23,1923901.875
33,2023-02-24,1921993.0
34,2023-02-25,1953991.5
35,2023-02-26,1944215.875
36,2023-02-27,1912796.625
37,2023-02-28,1948952.2500000002
38,2023-03-01,1933323.375
39,2023-03-02,1827316.125
40,2023-03-03,1826553.75
41,2023-03-04,1833267.625
42,2023-03-05,1835980.125
43,2023-03-06,1823684.25
44,2023-03-07,1780117.125
45,2023-03-08,1670145.375
46,2023-03-09,1670145.375
47,2023-03-10,1655728.375
48,2023-03-11,1691145.75
49,2023-03-12,1817116.75
50,2023-03-13,1994330.5
51,2023-03-14,2036726.75
52,2023-03-15,2016281.0000000002
53,2023-03-16,2069935.375
54,2023-03-17,2263369.75
55,2023-03-18,2225565.5
56,2023-03-19,2314190.0
57,2023-03-20,2291612.0
58,2023-03-21,2329504.75
59,2023-03-22,2253569.5
60,2023-03-23,2330910.0
61,2023-03-24,2264002.0
62,2023-03-25,2264119.0
63,2023-03-26,2305026.5
64,2023-03-27,2231312.5
65,2023-03-28,2240473.75
66,2023-03-29,2331816.75
67,2023-03-30,2301574.0
68,2023-03-31,2340380.5
69,2023-04-01,2334837.25
70,2023-04-02,2317561.5
71,2023-04-03,2282692.75
72,2023-04-04,2313024.25
73,2023-04-05,2309198.5
74,2023-04-06,2294895.5
75,2023-04-07,2286436.5
76,2023-04-08,2287261.5
77,2023-04-09,2320053.25
78,2023-04-10,2431074.25
79,2023-04-11,2481401.75
80,2023-04-12,2470228.75
81,2023-04-13,2483024.75
82,2023-04-14,2495138.75
83,2023-04-15,2481332.5
84,2023-04-16,2481161.75
85,2023-04-17,2414636.5
86,2023-04-18,2495886.75
87,2023-04-19,2373287.0
88,2023-04-20,2320158.0
89,2023-04-21,2237820.75
90,2023-04-22,2282171.5
91,2023-04-23,2264012.5
92,2023-04-24,2253019.25
93,2023-04-25,2320992.25
94,2023-04-26,2324043.25
95,2023-04-27,2409902.0
96,2023-04-28,2398439.0
97,2023-04-29,2390914.75
98,2023-04-30,2392580.25
99,2023-05-01,2284550.75
100,2023-05-02,2385195.836
0,2023-05-02,2385195.836
1,2023-05-03,2385377.434
2,2023-05-04,2382809.679
3,2023-05-05,2379910.854
4,2023-05-06,2377347.405
5,2023-05-07,2375045.589
6,2023-05-08,2372777.443
7,2023-05-09,2370394.597
8,2023-05-10,2367866.805
9,2023-05-11,2365245.289
10,2023-05-12,2362611.74
11,2023-05-13,2360044.648
12,2023-05-14,2357603.404
13,2023-05-15,2355322.784
14,2023-05-16,2353218.461
15,2023-05-17,2351287.567
16,2023-05-18,2349518.4
17,2023-05-19,2347890.095
18,2023-05-20,2346377.703
19,2023-05-21,2344956.275
20,2023-05-22,2343599.317
21,2023-05-23,2342283.095
22,2023-05-24,2340985.97
23,2023-05-25,2339689.619
24,2023-05-26,2338379.137
25,2023-05-27,2337044.037
26,2023-05-28,2335676.481
27,2023-05-29,2334272.716
28,2023-05-30,2332830.424
29,2023-05-31,2331351.151
